x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   r   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   x   x   0   0   0   r   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   1   x   0   0   0   r   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   x   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   x   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   +   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   0   0   0   0   0   0   0   x   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   x
x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x

//GOAL
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
